,OTitle,Title,Body,Link,Date,Type,PDate,Combined_Text,PText,PTitle
0,The Only Free Course You Need To Become a Professional Data Engineer,course need become professional engineer,engineering zoomcamp offers access reading materials video tutorials assignments homeworks projects workshops,https://www.kdnuggets.com/the-only-free-course-you-need-to-become-a-professional-data-engineer?utm_source=rss&utm_medium=rss&utm_campaign=the-only-free-course-you-need-to-become-a-professional-data-engineer,"Fri, 26 Jan 2024 15:00:48 +0000",blog,20240128,course need become professional engineer engineering zoomcamp offers access reading materials video tutorials assignments homeworks projects workshops,"['course', 'need', 'become', 'professional', 'engineer', 'engineering', 'zoomcamp', 'offers', 'access', 'reading', 'materials', 'video', 'tutorials', 'assignments', 'homeworks', 'projects', 'workshops']","['course', 'need', 'become', 'professional', 'engineer']"
1,SQL Simplified: Crafting Modular and Understandable Queries with CTEs,sql simplified crafting modular understandable queries ctes,,https://www.kdnuggets.com/sql-simplified-crafting-modular-and-understandable-queries-with-ctes?utm_source=rss&utm_medium=rss&utm_campaign=sql-simplified-crafting-modular-and-understandable-queries-with-ctes,"Fri, 26 Jan 2024 13:00:11 +0000",blog,20240128,sql simplified crafting modular understandable queries ctes ,"['sql', 'simplified', 'crafting', 'modular', 'understandable', 'queries', 'ctes']","['sql', 'simplified', 'crafting', 'modular', 'understandable', 'queries', 'ctes']"
2,Leveraging AI to Design Fair and Equitable EV Charging Grids,leveraging ai design fair equitable ev charging grids,,https://www.kdnuggets.com/leveraging-ai-to-design-fair-and-equitable-ev-charging-grids?utm_source=rss&utm_medium=rss&utm_campaign=leveraging-ai-to-design-fair-and-equitable-ev-charging-grids,"Thu, 25 Jan 2024 15:00:41 +0000",blog,20240128,leveraging ai design fair equitable ev charging grids ,"['leveraging', 'ai', 'design', 'fair', 'equitable', 'ev', 'charging', 'grids']","['leveraging', 'ai', 'design', 'fair', 'equitable', 'ev', 'charging', 'grids']"
3,10 Advanced Git Techniques,10 advanced git techniques,,https://www.kdnuggets.com/10-advanced-git-techniques?utm_source=rss&utm_medium=rss&utm_campaign=10-advanced-git-techniques,"Thu, 25 Jan 2024 13:00:04 +0000",blog,20240128,10 advanced git techniques ,"['10', 'advanced', 'git', 'techniques']","['10', 'advanced', 'git', 'techniques']"
4,Supercharge Your AI Journey! Join Uplimit’s Free Building AI Products using OpenAI Course,supercharge ai journey join uplimits building ai products openai course,,https://www.kdnuggets.com/2024/01/uplimit-supercharge-your-ai-journey-openai-course?utm_source=rss&utm_medium=rss&utm_campaign=supercharge-your-ai-journey-join-uplimits-free-building-ai-products-using-openai-course,"Thu, 25 Jan 2024 01:48:48 +0000",blog,20240128,supercharge ai journey join uplimits building ai products openai course ,"['supercharge', 'ai', 'journey', 'join', 'uplimits', 'building', 'ai', 'products', 'openai', 'course']","['supercharge', 'ai', 'journey', 'join', 'uplimits', 'building', 'ai', 'products', 'openai', 'course']"
5,How Generative AI Can Help You Improve Your Data Visualization Charts,generative ai improve visualization charts,,https://www.kdnuggets.com/how-generative-ai-can-help-you-improve-your-data-visualization-charts?utm_source=rss&utm_medium=rss&utm_campaign=how-generative-ai-can-help-you-improve-your-data-visualization-charts,"Wed, 24 Jan 2024 15:00:50 +0000",blog,20240128,generative ai improve visualization charts ,"['generative', 'ai', 'improve', 'visualization', 'charts']","['generative', 'ai', 'improve', 'visualization', 'charts']"
6,8 Free Google Courses to Land Top Paying Jobs,8 google land top paying jobs,,https://www.kdnuggets.com/8-free-google-courses-to-land-top-paying-jobs?utm_source=rss&utm_medium=rss&utm_campaign=8-free-google-courses-to-land-top-paying-jobs,"Wed, 24 Jan 2024 13:00:41 +0000",blog,20240128,8 google land top paying jobs ,"['8', 'google', 'land', 'top', 'paying', 'jobs']","['8', 'google', 'land', 'top', 'paying', 'jobs']"
7,"KDnuggets News, January 24: 5 Free University Courses to Learn Data Science • Convert Unstructured Data into Structured Insights with LLMs",kdnuggets news january 24 5 university learn convert unstructured structured insights llms,,https://www.kdnuggets.com/newsletter-n03-2024-01-24?utm_source=rss&utm_medium=rss&utm_campaign=kdnuggets-news-january-24-5-free-university-courses-to-learn-data-science-convert-unstructured-data-into-structured-insights-with-llms,"Tue, 23 Jan 2024 19:26:45 +0000",blog,20240128,kdnuggets news january 24 5 university learn convert unstructured structured insights llms ,"['kdnuggets', 'news', 'january', '24', '5', 'university', 'learn', 'convert', 'unstructured', 'structured', 'insights', 'llms']","['kdnuggets', 'news', 'january', '24', '5', 'university', 'learn', 'convert', 'unstructured', 'structured', 'insights', 'llms']"
8,Powering Up with Predictive GenAI,powering predictive genai,,https://www.kdnuggets.com/2024/01/pecan-powering-predictive-genai?utm_source=rss&utm_medium=rss&utm_campaign=powering-up-with-predictive-genai,"Tue, 23 Jan 2024 18:00:13 +0000",blog,20240128,powering predictive genai ,"['powering', 'predictive', 'genai']","['powering', 'predictive', 'genai']"
9,7 Steps to Landing Your First Data Science Job,7 steps landing first job,want make successful career switch concepts cracking interviews read guide move one step closer first job,https://www.kdnuggets.com/7-steps-to-landing-your-first-data-science-job?utm_source=rss&utm_medium=rss&utm_campaign=7-steps-to-landing-your-first-data-science-job,"Tue, 23 Jan 2024 17:00:30 +0000",blog,20240128,7 steps landing first job want make successful career switch concepts cracking interviews read guide move one step closer first job,"['7', 'steps', 'landing', 'first', 'job', 'want', 'make', 'successful', 'career', 'switch', 'concepts', 'cracking', 'interviews', 'read', 'guide', 'move', 'one', 'step', 'closer', 'first', 'job']","['7', 'steps', 'landing', 'first', 'job']"
